route,bus_lane_share,cbd_relation
BX26,0.023,Outside CBD
BX25,0.019,Outside CBD
BX41+,0.814,Outside CBD
BX41,0.796,Outside CBD
BX39,0.059,Outside CBD
BX4,0.06,Outside CBD
BX4A,0,Outside CBD
BX34,0.109,Outside CBD
BX40,0.14,Outside CBD
BX42,0.085,Outside CBD
BX30,0.029,Outside CBD
BX24,0.037,Outside CBD
BX29,0.094,Outside CBD
BX22,0.015,Outside CBD
BX12+,0.116,Outside CBD
BX5,0.598,Outside CBD
BX16,0.054,Outside CBD
BX12,0.493,Outside CBD
BX28,0.304,Outside CBD
BX38,0.338,Outside CBD
M100,0.079,Outside CBD
BX18A,0.215,Outside CBD
BX18B,0.269,Outside CBD
BX15,0.091,Outside CBD
BX20,0,Outside CBD
BX7,0.104,Outside CBD
BX1,0.057,Outside CBD
BX2,0.128,Outside CBD
BX3,0.652,Outside CBD
BX13,0.653,Outside CBD
BX10,0.01,Outside CBD
BX9,0,Outside CBD
BX6+,0.389,Outside CBD
BX33,0,Outside CBD
BX8,0.039,Outside CBD
BX17,0.354,Outside CBD
BX21,0.06,Outside CBD
BX35,0.474,Outside CBD
BX46,0,Outside CBD
BX19,0.368,Outside CBD
BX31,0.074,Outside CBD
BX32,0.146,Outside CBD
BX6,0.316,Outside CBD
BX27,0.062,Outside CBD
BX11,0.317,Outside CBD
BX36,0.387,Outside CBD
B82+,0.554,Outside CBD
B42,0.294,Outside CBD
Q56,0.22,Outside CBD
Q24,0.129,Outside CBD
B15,0.018,Outside CBD
B17,0.132,Outside CBD
B14,0.03,Outside CBD
B25,0.352,Outside CBD
B83,0.187,Outside CBD
B45,0.378,Outside CBD
B65,0.173,Outside CBD
B12,0.068,Outside CBD
B84,0,Outside CBD
B82,0.445,Outside CBD
B49,0.346,Outside CBD
B44+,0.597,Outside CBD
B44,0.261,Outside CBD
B41,0.127,Outside CBD
B46+,0.712,Outside CBD
B46,0.487,Outside CBD
B31,0,Outside CBD
B2,0.182,Outside CBD
B7,0.163,Outside CBD
Q54,0.132,Outside CBD
