route,month,total_boardings,avg_weekday_boardings
B1,2024-09,2191,104
B1,2024-10,44616,1588
B1,2024-11,54255,2187
B1,2024-12,64287,2148
B1,2025-01,63288,2132
B1,2025-02,63102,1792
B1,2025-03,29615,1276
B1,2025-04,45018,1781
B1,2025-05,37599,1472
B1,2025-06,32827,1349
B1,2025-07,31562,964
B1,2025-08,29839,745
B1,2025-09,62999,2446
B1,2025-10,61651,2383
B1,2025-11,61904,2423
B1,2025-12,77736,2570
B1,2026-01,95172,3459
B1,2026-02,71962,2832
B1,2026-03,59003,2260
B1,2026-04,63413,2418
B1,2026-05,46746,1893
B1,2026-06,68976,2493
B100,2024-09,5183,247
B100,2024-10,113351,4556
B100,2024-11,97537,4222
B100,2024-12,86424,3522
B100,2025-01,99485,4035
B100,2025-02,86709,4010
B100,2025-03,99798,4182
B100,2025-04,106453,4456
B100,2025-05,114136,4678
B100,2025-06,93582,3990
B100,2025-07,89654,3513
B100,2025-08,79717,3273
B100,2025-09,94122,3876
B100,2025-10,97976,3819
B100,2025-11,81942,3672
B100,2025-12,92427,3727
B100,2026-01,88840,3766
B100,2026-02,71955,3313
B100,2026-03,99648,4169
B100,2026-04,87496,3623
B100,2026-05,99935,4335
B100,2026-06,95307,3902
B102,2026-02,19920,0
B103,2024-09,13568,646
B103,2024-10,342182,12519
B103,2024-11,292509,11142
B103,2024-12,271698,10021
B103,2025-01,277464,10105
B103,2025-02,264031,10941
B103,2025-03,316508,12147
B103,2025-04,297493,11296
B103,2025-05,333721,12228
B103,2025-06,287978,10915
B103,2025-07,281703,9895
B103,2025-08,255639,9120
B103,2025-09,283128,10468
B103,2025-10,289462,10527
B103,2025-11,252631,9576
B103,2025-12,251332,9032
B103,2026-01,231761,8708
B103,2026-02,197016,8106
B103,2026-03,254021,9532
B103,2026-04,240011,9177
B103,2026-05,276530,10496
B103,2026-06,277252,10169
B106,2025-04,24446,20
B106,2025-05,67000,53
B106,2025-06,35085,56
B106,2025-08,21040,0
B106,2025-09,9,0
B106,2025-12,21852,20
B11,2024-09,4385,209
B11,2024-10,103173,3885
B11,2024-11,70992,2695
B11,2024-12,71204,2699
B11,2025-01,88174,3286
B11,2025-02,74728,3184
B11,2025-03,97257,3737
B11,2025-04,85114,3352
B11,2025-05,105420,3852
B11,2025-06,97595,3861
B11,2025-07,89113,3343
B11,2025-08,83937,3215
B11,2025-09,114100,4537
B11,2025-10,108779,4031
B11,2025-11,90753,3671
B11,2025-12,96328,3564
B11,2026-01,89600,3523
B11,2026-02,81639,3521
B11,2026-03,95201,3694
B11,2026-04,89739,3488
B11,2026-05,99332,3909
B11,2026-06,94271,3605
B111,2025-03,4331,206
B111,2025-04,4526,206
B111,2025-05,3450,157
B111,2025-06,3436,164
B111,2025-07,2293,100
B111,2025-08,2791,133
B111,2025-09,1979,90
B111,2025-10,3496,152
B111,2025-11,2907,145
B111,2025-12,2678,116
B111,2026-01,3343,152
B111,2026-02,1818,91
B111,2026-03,3587,163
B111,2026-04,2747,125
B111,2026-05,3605,172
B111,2026-06,2859,130
B12,2024-09,13034,621
B12,2024-10,336367,12269
B12,2024-11,288242,10989
B12,2024-12,273204,10108
B12,2025-01,269641,10036
B12,2025-02,247415,10249
B12,2025-03,289829,11027
B12,2025-04,269646,10380
B12,2025-05,284144,10446
B12,2025-06,268939,10397
B12,2025-07,302131,10858
B12,2025-08,274680,9845
B12,2025-09,298766,11002
B12,2025-10,301460,11103
B12,2025-11,247572,9374
B12,2025-12,252542,9144
B12,2026-01,223775,8400
B12,2026-02,196977,8064
B12,2026-03,241898,9288
B12,2026-04,216902,8397
B12,2026-05,245971,9257
B12,2026-06,260181,9595
B13,2024-09,8184,390
B13,2024-10,192126,7082
B13,2024-11,173204,6694
B13,2024-12,168533,6320
B13,2025-01,170625,6355
B13,2025-02,152731,6445
B13,2025-03,185796,7115
B13,2025-04,182123,6986
B13,2025-05,186960,7034
B13,2025-06,177321,7031
B13,2025-07,178992,6473
B13,2025-08,163304,6021
B13,2025-09,181022,6934
B13,2025-10,181454,6638
B13,2025-11,159297,6283
B13,2025-12,154952,5655
B13,2026-01,144440,5602
B13,2026-02,119263,4956
B13,2026-03,147952,5670
B13,2026-04,150390,5855
B13,2026-05,174025,6775
B13,2026-06,155392,5843
B14,2024-09,6679,318
B14,2024-10,152236,5659
B14,2024-11,132964,5192
B14,2024-12,131213,4961
B14,2025-01,128420,4765
B14,2025-02,111192,4757
B14,2025-03,124464,4766
B14,2025-04,127480,4951
