route,period,group,days_seen,avg_speed_mph
Q56,2026-W12,Q,1,
Q56,2026-W17,Q,5,5.3
Q56,2026-W18,Q,7,7.8
Q56,2026-W19,Q,7,8.2
Q56,2026-W20,Q,7,7.6
Q56,2026-W21,Q,7,7.6
Q56,2026-W22,Q,7,7.9
Q56,2026-W23,Q,7,8.8
Q56,2026-W24,Q,6,9.7
Q56,2026-W25,Q,6,9.7
Q56,2026-W26,Q,7,10.3
Q56,2026-W27,Q,6,8.1
Q56,2026-W28,Q,7,7.8
Q56,2026-W29,Q,7,7.8
Q56,2026-W30,Q,7,7.8
Q56,2026-W31,Q,7,7.7
Q56,2026-W32,Q,7,7.8
Q56,2026-W33,Q,7,7.8
Q56,2026-W34,Q,7,8.1
Q56,2026-W35,Q,7,8.1
Q56,2026-W36,Q,7,8
Q56,2026-W37,Q,7,8
Q56,2026-W38,Q,4,7.4
B45,2026-W12,B,1,
B45,2026-W17,B,5,3.8
B45,2026-W18,B,7,6.8
B45,2026-W19,B,7,7
B45,2026-W20,B,7,6.6
B45,2026-W21,B,7,6.6
B45,2026-W22,B,7,6.8
B45,2026-W23,B,7,8
B45,2026-W24,B,6,8.4
B45,2026-W25,B,6,8.1
B45,2026-W26,B,7,9
B45,2026-W27,B,6,7.1
B45,2026-W28,B,7,7
B45,2026-W29,B,7,6.9
B45,2026-W30,B,7,6.8
B45,2026-W31,B,7,6.8
B45,2026-W32,B,7,6.8
B45,2026-W33,B,7,6.9
B45,2026-W34,B,7,7
B45,2026-W35,B,7,6.9
B45,2026-W36,B,7,6.9
B45,2026-W37,B,7,6.8
B45,2026-W38,B,4,6.3
M8,2026-W12,M,1,
M8,2026-W17,M,5,2.8
M8,2026-W18,M,7,5.7
M8,2026-W19,M,7,6.2
M8,2026-W20,M,7,5.9
M8,2026-W21,M,7,5.9
M8,2026-W22,M,7,6
M8,2026-W23,M,7,6.6
M8,2026-W24,M,6,7.7
M8,2026-W25,M,6,5.7
M8,2026-W26,M,7,6.7
M8,2026-W27,M,6,6.2
M8,2026-W28,M,7,6.1
M8,2026-W29,M,7,6.1
M8,2026-W30,M,7,6
M8,2026-W31,M,7,5.9
M8,2026-W32,M,7,5.7
M8,2026-W33,M,7,6
M8,2026-W34,M,7,6.1
M8,2026-W35,M,7,5.9
M8,2026-W36,M,7,6.2
M8,2026-W37,M,7,5.9
