period,start_date,end_date,days,coverage_pct,comparable,avg_speed_hour_norm_mph,avg_speed_raw_mph,avg_active_buses,peak_active_buses
2026-W12,2026-03-19,2026-03-19,1,0,false,,,,0
2026-W17,2026-04-22,2026-04-26,5,80,false,7.1,6.2,2299.5,3804
2026-W18,2026-04-27,2026-05-03,7,56,true,9.1,9.5,2242.7,3783
2026-W19,2026-05-04,2026-05-10,7,54,true,9.2,10,2076.1,3472
2026-W20,2026-05-11,2026-05-17,7,71,true,9,9.3,2440,3867
2026-W21,2026-05-18,2026-05-24,7,51,true,9.1,9.4,2605.8,3735
2026-W22,2026-05-25,2026-05-31,7,82,true,9.2,9.6,2260.2,3643
2026-W23,2026-06-01,2026-06-07,7,32,false,9.4,10.3,1515,2339
2026-W24,2026-06-08,2026-06-14,6,13,false,10.2,10.5,1227.7,1588
2026-W25,2026-06-16,2026-06-21,6,13,false,10.3,10.6,1243.1,1591
2026-W26,2026-06-22,2026-06-28,7,9,false,10.5,10.6,1144.3,1522
2026-W27,2026-06-30,2026-07-05,6,93,false,9,9.7,2261.7,3679
2026-W28,2026-07-06,2026-07-12,7,87,true,9.2,9.9,2380.5,3695
2026-W29,2026-07-13,2026-07-19,7,83,true,9.1,9.8,2438,3660
2026-W30,2026-07-20,2026-07-26,7,93,true,9,9.7,2453.6,3702
2026-W31,2026-07-27,2026-08-02,7,90,true,9,9.6,2483.8,3736
2026-W32,2026-08-03,2026-08-09,7,87,true,9.1,9.7,2375.4,3654
2026-W33,2026-08-10,2026-08-16,7,98,true,9.1,9.8,2426.6,3703
2026-W34,2026-08-17,2026-08-23,7,103,true,9.3,9.9,2385.3,3713
2026-W35,2026-08-24,2026-08-30,7,81,true,9.3,9.9,2319.7,3671
2026-W36,2026-08-31,2026-09-06,7,97,true,9.1,9.9,2377.6,3701
2026-W37,2026-09-07,2026-09-13,7,98,true,9,9.5,2227.3,3823
2026-W38,2026-09-14,2026-09-20,7,98,true,8.8,9.4,2417.3,3877
2026-W39,2026-09-21,2026-09-25,5,100,false,8.7,9.4,2720.8,3919
