"nonresponsiblecontractor","fein","agencyauthorityname","agencyauthoritycontact","agencyauthoritycontactemail","agencyauthoritycontactphonenumber","datenonresponsibilitydetermination"
"ICON Contracting Group, Inc., 500 Mamoroneck Ave., Suite 320, Harrison, NY  10528-1600","27-3394131","OGS","Pierre Alric","Pierre.Alric@ogs.ny.gov","518-473-2899","0024-10-01T00:00:00.000"
"Competition Unlimited Corporation, 559 Livingston Street Westbury, NY 11590","26-2533148","OPRHP","Agnieszka Michael","agnieszka.michael@parks.ny.gov","518-903-9475","0024-05-08T00:00:00.000"
"East Coast Wall Coatings Inc., 245 Franklin Avenue, Franklin Square, NY 11010","45-3085498","State University of New York at Stony Brook","Douglas Panico","douglas.panico@stonybrook.edu","631-632-6081","0024-04-03T00:00:00.000"
"Anthony J. Salvatore, Salvatore Trucking, PO Box 763, Saugerties, NY 12477","46-3921663","OPWDD","Marc Kleinhenz","Marc.L.Kleinhenz@opwdd.ny.gov","518-474-7719","0023-08-31T00:00:00.000"
"PLSIII, LLC, We Care, Cedar Bus Company, 401 E Amherst Street, Buffalo, NY 14215","16-1606714","OPWDD","Marc Kleinhenz","Marc.L.Kleinhenz@opwdd.ny.gov","518-474-7719","0023-04-05T00:00:00.000"
"Kapsch TrafficCom USA, Inc., 2855 Premiere Parkway, Suite F, Duluth, Georgia, 30097","16-1317836","DOT","Matt Bromirski","matt.bromirski@dot.ny.gov","518-485-0822","0023-09-07T00:00:00.000"
"Jaid Construction, Inc., 94-43 120th St., 1st Floor, South Richmond Hill, NY 11419-1305","46-1031370","OGS","Pierre Alric","Pierre.Alric@ogs.ny.gov","518-473-2899","0023-04-07T00:00:00.000"
"McClain & Co. Inc., 19152 Germanna Highway, Culpeper, VA 22701","54-1832039","DOT","Matt Bromirski","matt.bromirski@dot.ny.gov","518-485-0822","0023-03-28T00:00:00.000"
"ATANE Engineers, Architects and Land Surveyors, D.P.C., 40 Wall Street, 11th Floor; New York, New York 10005","13-3779703","DOT","Matt Bromirski","matt.bromirski@dot.ny.gov","518-485-0822","0023-02-14T00:00:00.000"
"The Grasso Companies, LLC, 485 Pepper Street, Monroe, CT 06468","27-2070941","DOT","Matt Bromirski","matt.bromirski@dot.ny.gov","518-485-0822","0022-09-07T00:00:00.000"
"Economy Paving Co., Inc., 1819 NY Route 13, Cortland, NY 13045","16-0951911","DOT","Matt Bromirski","matt.bromirski@dot.ny.gov","518-485-0822","0022-08-12T00:00:00.000"
"United Industries Unlimited LLC, 18 Park Drive East, Syosset, NY 11791","83-0785872","MTA","Kennith Norman","kennith.norman@nyct.com","646-252-6340","0022-07-18T00:00:00.000"
"Economy Paving Co., Inc., 1819 NY Route 13, Cortland, NY 13045","16-0951911","DOT","Matt Bromirski","matt.bromirski@dot.ny.gov","518-485-0822","0022-05-13T00:00:00.000"
"ATANE Engineer, Architects and Land Surveyors, D.P.C., 40 Wall Street, 11th Floor; New York, New York 10005","13-3779703","DOT","Matt Bromirski","matt.bromirski@dot.ny.gov","518-485-0822","0022-03-07T00:00:00.000"
"Curb Mobility, LLC, 11-11 34th Avenue, Long Island City, NY 11106","82-3661311","MTA","Kennith Norman","kennith.norman@nyct.com","646-252-6340","0021-05-05T00:00:00.000"
"Human Touch Translations LTD., 111 Great Neck Road, Suite 201-B, Great Neck, NY, 11021","27-2264923","OTDA","Krista Rock","Krista.Rock@otda.ny.gov","518-474-9502","0021-04-23T00:00:00.000"
"Allstate Enterprises, Inc., 2369 Stewart Avenue, Westbury, NY 11590-6040","35-2393198","OGS","Pierre Alric","Pierre.Alric@ogs.ny.gov","518-473-2899","0021-03-01T00:00:00.000"
"Trillium Psychiatry, PLLC, 200 Trillium Lane, Albany, NY 12203","81-3687806","OCFS","Kevin R. Sweet","kevin.sweet@ocfs.ny.gov","518-486-7573","0020-07-27T00:00:00.000"
