Page A,Page B,Shared Tags,Reason
/issue-3,/issue-4,"setting the stage, looking back, building blocks, sights and sounds",4 shared tags
/gun-violence-debates,/violence-and-urban-inequality,"crime, history, gun violence",3 shared tags
/rethinking-rigidity,/gun-violence-debates,"crime, gun violence",2 shared tags
/rethinking-rigidity,/violence-and-urban-inequality,"crime, gun violence",2 shared tags
/rethinking-rigidity,/already-in-the-trap-young-new-yorkers,"crime, gun violence",2 shared tags
/rethinking-rigidity,/stemming-violence-investing-in-civic-goods,"crime, gun violence",2 shared tags
/rethinking-rigidity,/civic-life-can-create-safety,"crime, gun violence",2 shared tags
/rethinking-rigidity,/gun-violence-is-the-crime-problem,"crime, gun violence",2 shared tags
/shifting-power-to-the-community-an-experiment-in-brownsville,/already-in-the-trap-young-new-yorkers,"social science, gun violence",2 shared tags
/shifting-power-to-the-community-an-experiment-in-brownsville,/weighing-the-impacts-of-policing,"social science, gun violence",2 shared tags
/gun-violence-debates,/already-in-the-trap-young-new-yorkers,"crime, gun violence",2 shared tags
/gun-violence-debates,/stemming-violence-investing-in-civic-goods,"crime, gun violence",2 shared tags
/gun-violence-debates,/civic-life-can-create-safety,"crime, gun violence",2 shared tags
/gun-violence-debates,/gun-violence-is-the-crime-problem,"crime, gun violence",2 shared tags
/violence-and-urban-inequality,/already-in-the-trap-young-new-yorkers,"crime, gun violence",2 shared tags
/violence-and-urban-inequality,/stemming-violence-investing-in-civic-goods,"crime, gun violence",2 shared tags
/violence-and-urban-inequality,/civic-life-can-create-safety,"crime, gun violence",2 shared tags
/violence-and-urban-inequality,/gun-violence-is-the-crime-problem,"crime, gun violence",2 shared tags
/already-in-the-trap-young-new-yorkers,/weighing-the-impacts-of-policing,"social science, gun violence",2 shared tags
/already-in-the-trap-young-new-yorkers,/stemming-violence-investing-in-civic-goods,"crime, gun violence",2 shared tags
/already-in-the-trap-young-new-yorkers,/civic-life-can-create-safety,"crime, gun violence",2 shared tags
/already-in-the-trap-young-new-yorkers,/gun-violence-is-the-crime-problem,"crime, gun violence",2 shared tags
/stemming-violence-investing-in-civic-goods,/civic-life-can-create-safety,"crime, gun violence",2 shared tags
/stemming-violence-investing-in-civic-goods,/gun-violence-is-the-crime-problem,"crime, gun violence",2 shared tags
/civic-life-can-create-safety,/gun-violence-is-the-crime-problem,"crime, gun violence",2 shared tags
/a-cop-civilian-confrontation-photo-essay,/civic-life-can-create-safety,"police reform, crime",2 shared tags
/beyond-enforcement,/the-public-square,"crime, quality of life",2 shared tags
/destroying-affordable-housing-in-order-to-save-it,/can-new-york-become-a-city-of-yes,"housing, city planning",2 shared tags
/destroying-affordable-housing-in-order-to-save-it,/expand-manhattan-for-housing,"housing, city planning",2 shared tags
/can-new-york-become-a-city-of-yes,/expand-manhattan-for-housing,"city planning, housing",2 shared tags
/how-architecture-can-create-community-or-isolation,/connecting-communities-through-design,"city planning, social science",2 shared tags
/hip-hop-exhibits-review,/brooklyn-summers-steelpan,"culture, history",2 shared tags
/rethinking-rigidity,/shifting-power-to-the-community-an-experiment-in-brownsville,gun violence,1 shared tags
/rethinking-rigidity,/vital-city-issue-1,gun violence,1 shared tags
/rethinking-rigidity,/weighing-the-impacts-of-policing,gun violence,1 shared tags
/shifting-power-to-the-community-an-experiment-in-brownsville,/vital-city-issue-1,gun violence,1 shared tags
/shifting-power-to-the-community-an-experiment-in-brownsville,/gun-violence-debates,gun violence,1 shared tags
/shifting-power-to-the-community-an-experiment-in-brownsville,/violence-and-urban-inequality,gun violence,1 shared tags
/shifting-power-to-the-community-an-experiment-in-brownsville,/stemming-violence-investing-in-civic-goods,gun violence,1 shared tags
/shifting-power-to-the-community-an-experiment-in-brownsville,/civic-life-can-create-safety,gun violence,1 shared tags
/shifting-power-to-the-community-an-experiment-in-brownsville,/gun-violence-is-the-crime-problem,gun violence,1 shared tags
/vital-city-issue-1,/gun-violence-debates,gun violence,1 shared tags
/vital-city-issue-1,/violence-and-urban-inequality,gun violence,1 shared tags
/vital-city-issue-1,/already-in-the-trap-young-new-yorkers,gun violence,1 shared tags
/vital-city-issue-1,/weighing-the-impacts-of-policing,gun violence,1 shared tags
/vital-city-issue-1,/stemming-violence-investing-in-civic-goods,gun violence,1 shared tags
/vital-city-issue-1,/civic-life-can-create-safety,gun violence,1 shared tags
/vital-city-issue-1,/gun-violence-is-the-crime-problem,gun violence,1 shared tags
/gun-violence-debates,/weighing-the-impacts-of-policing,gun violence,1 shared tags
/violence-and-urban-inequality,/weighing-the-impacts-of-policing,gun violence,1 shared tags
